icao24;typecode
a96158;B737
7335ae;A310
403055;BALL
e482c2;C208
3ee85d;GLID
3ff386;WT9
a95556;A139
a6b189;H500
49d03f;P32R
4b3d11;B06
5000e2;GLEX
403ce8;BALL
448aa1;BALL
463e58;SRAI
adbe02;RELI
7c60fa;C525
7502c8;B350
43eb39;AC11
14adb9;YK52
a399fb;R44
c81463;AT75
a915a4;ST75
a10c79;WW24
a1db3a;B763
ab7168;H269
abd17b;B738
e48ba8;B77W
a58a30;R22
a2758c;R44
aae2e2;H25B
484d42;BALL
459463;P28B
ace747;B407
c08186;B06
a992fe;PRM1
4061fb;GLEX
458861;P28A
4b2847;P28B
3d31e6;R90R
a36c11;BE9L
3d18a1;P28A
c04c32;B212
a86399;LJ45
c02e32;BE20
4984f2;Z37P
403763;BALL
401963;SF25
48436e;B772
aa8aa9;CRJ1
3eff23;GLID
148315;AN2
c81300;VAMP
a6d58b;DHC7
4031a6;ULAC
05a04d;DHC6
463066;E300
4402ea;C510
c05818;S76
38c2bb;GLID
c01968;A321
a952eb;E400
a635c6;C25M
3d0b61;CH7B
00bb59;T6
781858;A359
acbebd;AT43
ad97bf;BE40
3ef54f;GLID
a8571f;BE18
a98048;LJ31
3dd2fc;EC45
3d25ea;SV4
4b3960;PC24
344404;DA42
c02040;C680
0d09b3;E55P
ae2696;AS65
ae0896;TEX2
503c1b;G2CA
501e1b;C25A
484991;C206
a51d5d;GLF4
accd8c;CRJ9
142580;F9EX
c81ade;R22
4051f9;DR40
a9fb3f;B737
a75ac7;CRJ9
ac7f77;C750
3ec13e;SF25
a2767c;DH2T
a8230e;AC11
79a031;A320
86dd08;B788
a9a404;CRJ7
39bd24;A388
a17c95;A321
3838d8;C150
4b1bd9;DR40
ac3fc5;B77L
a99a9e;G450
404455;COY2
a4592f;C340
40314b;FOX
00ae72;R44
a5f825;B712
c055ad;GL5T
89913a;AT76
a5d775;B350
48d82b;M28
506de2;C172
48445e;A139
4aa9ec;B06
401fde;UNDEFINED
405da3;EV97
ab0702;BE30
a31f8c;C560
403cf3;R200
7c0b93;B06
ad667b;T28
ac7e14;B737
c2b1d9;P3
3ee7ee;GLID
43eb44;CL61
7502d3;AT76
